employer_name;reviews_count;culture_count;salaries_count;benefits_count;employer_website;employer_headquarters;employer_founded;employer_industry;employer_revenue;url;geral;cultura_e_valores;diversidade_e_inclusão;qualidade_de_vida;alta_liderança;remuneração_e_benefícios;oportunidades_de_carreira;recomendam_para_outras_pessoas;perspectiva_positiva_da_empresa;segmento;nome;match_percent;nome_normalizado;cnpj;Nome_Bancos;ano;trimestre;categoria;tipo;instituição_financeira;índice;quantidade_de_reclamações_reguladas_procedentes;quantidade_de_reclamações_reguladas___outras;quantidade_de_reclamações_não_reguladas;quantidade_total_de_reclamações;quantidade_total_de_clientes__ccs_e_scr;quantidade_de_clientes__ccs;quantidade_de_clientes__scr
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;WILL (conglomerado);60,50;200;127;162;489;3305651;3305651; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;AFINZ (conglomerado); ;17;32;13;62;483968;1078;482931
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;AGIBANK (conglomerado);112,41;224;261;60;545;1992640;1610132;1269980
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;ASAAS (conglomerado); ;15;42;5;62;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BANCO SICOOB (conglomerado);8,44;51;63;29;143;6040091;2687294;4066514
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BB (conglomerado);8,22;610;1863;962;3435;74126665;67500727;35771620
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BBC (conglomerado); ;1;4;5;10;6609; ;6609
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNQI - FINANCEIRO (conglomerado); ;29;32;16;77;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BTG PACTUAL/BANCO PAN (conglomerado);76,13;1613;1010;470;3093;21185674;15568730;9773649
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;C6 BANK (conglomerado);33,13;759;1451;468;2678;22905869;20319653;7333687
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COBUCCIO (conglomerado); ;16;9;44;69;752805;6695;751131
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COLOMBO (conglomerado); ;1;3;0;4;322448;61;322405
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;CREDSYSTEM (conglomerado); ;5;14;15;34;4235510;0;4235510
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;FINAXIS (conglomerado); ;0;0;1;1;3907;3907; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GENIAL (conglomerado); ;9;4;0;13;734186;734183;412
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GERENCIANET (conglomerado); ;8;13;2;23;345269;345030;15425
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GM (conglomerado); ;1;6;8;15;221613;474;221222
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GRUPO ZEMA (conglomerado); ;1;3;13;17;537686;27881;518166
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;HERVAL - HS (conglomerado); ;1;9;1;11;218105;803;217505
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MASTER (conglomerado);638,66;265;192;55;512;414928;14820;402383
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MERCADO CRÉDITO (conglomerado);18,07;779;898;247;1924;43102757;43079822;4035091
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NEON (conglomerado);11,75;195;182;35;412;16586111;16583349;1420503
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;4º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NUBANK (conglomerado);6,90;477;1150;319;1946;69077761;67260966;36478591
